"Analysis"	"Identifier_1"	"Treat"	"Code"	"Time"	"Peak"	"Rt"	"Ampl__44"	"Ampl__45"	"Ampl__46"	"BGD_44"	"BGD_45"	"BGD_46"	"AT%13C/12C"	"relative_concentration"
"176"	36678	"BV20_09_18"	"DPS"	"DPS2"	2	"C19:0"	1440	2022	2312	2778	19	24.1	42.5	1.087	2034.0937
"177"	36678	"BV20_09_18"	"DPS"	"DPS2"	2	"C20:0"	1479	146	346	201	19	24.1	42.5	1.619	130.695
"179"	36680	"BV20_09_42"	"DPS"	"DPS2"	4	"C14:0"	643	697	6826	971	18.1	21	38.3	8.771	749.7509
"180"	36680	"BV20_09_42"	"DPS"	"DPS2"	4	"14:1w5"	652	61	341	85	18.1	21	38.3	6.386	46.2402
"181"	36680	"BV20_09_42"	"DPS"	"DPS2"	4	"C16:1w7"	887	2511	29400	3521	16.9	22.2	40.5	10.727	2798.33
"182"	36680	"BV20_09_42"	"DPS"	"DPS2"	4	"C17:0"	923	2590	35821	3654	16.9	22.2	40.5	12.258	2941.9394
"185"	36680	"BV20_09_42"	"DPS"	"DPS2"	4	"C16:3w4"	1067	265	375	364	19.5	62.4	44.4	1.329	249.5858
"186"	36680	"BV20_09_42"	"DPS"	"DPS2"	4	"C18:1w9"	1239	114	217	156	16.4	34.4	39.6	2.477	99.7755
"188"	36680	"BV20_09_42"	"DPS"	"DPS2"	4	"C19:0"	1440	1913	2204	2627	22.2	41.2	46.7	1.097	1920.1766
"189"	36680	"BV20_09_42"	"DPS"	"DPS2"	4	"C20:0"	1479	158	1007	219	22.2	41.2	46.7	3.874	145.9754
"192"	36681	"BV20_09_19"	"DPS"	"DPS3"	2	"C14:0"	645	211	1552	293	18.9	15.6	39.3	6.71	208.2259
"193"	36681	"BV20_09_19"	"DPS"	"DPS3"	2	"C16:1w7"	888	1045	9761	1461	15.6	11.9	38.6	8.408	1131.1625
"194"	36681	"BV20_09_19"	"DPS"	"DPS3"	2	"C17:0"	924	892	9695	1250	27.1	113.9	54.9	9.654	964.2999
"195"	36681	"BV20_09_19"	"DPS"	"DPS3"	2	"C18:1w9"	1240	61	92	84	14.8	18.2	37.3	1.967	47.0782
"196"	36681	"BV20_09_19"	"DPS"	"DPS3"	2	"C19:0"	1440	1720	1964	2362	18.5	21.5	41.7	1.084	1727.8929
"197"	36681	"BV20_09_19"	"DPS"	"DPS3"	2	"C20:0"	1479	115	261	159	18.5	21.5	41.7	1.568	99.2473
"199"	36682	"BV20_09_31"	"DPS"	"DPS3"	3	"C14:0"	643	726	7356	1015	21.6	22.9	43.1	9.028	780.6496
"200"	36682	"BV20_09_31"	"DPS"	"DPS3"	3	"14:1w5"	651	58	351	81	21.6	22.9	43.1	6.358	39.7948
"201"	36682	"BV20_09_31"	"DPS"	"DPS3"	3	"C16:1w7"	887	3351	41086	4711	17.7	21.7	41.4	11.208	3757.9658
"202"	36682	"BV20_09_31"	"DPS"	"DPS3"	3	"C17:0"	923	3060	41799	4306	49.7	392.4	86.6	12.429	3437.0369
"205"	36682	"BV20_09_31"	"DPS"	"DPS3"	3	"C16:3w4"	1067	130	178	179	20.6	72.8	45.9	1.21	110.8517
"206"	36682	"BV20_09_31"	"DPS"	"DPS3"	3	"C18:1w9"	1239	220	367	303	16.9	39.9	40.2	2.594	207.1602
