# PLAZA instance : diatoms_01
# File generation timestamp : Wed Apr 22 15:36:27 CEST 2020
#"transcript_id";"gene_id"
"Sro101_g051810.1";"Sro101_g051810"
"Sro101_g051820.1";"Sro101_g051820"
"Sro101_g051830.1";"Sro101_g051830"
"Sro101_g051840.1";"Sro101_g051840"
"Sro1020_g232060.1";"Sro1020_g232060"
"Sro1020_g232070.1";"Sro1020_g232070"
"Sro1020_g232080.1";"Sro1020_g232080"
"Sro1020_g232090.1";"Sro1020_g232090"
"Sro1020_g232100.1";"Sro1020_g232100"
"Sro1020_g232110.1";"Sro1020_g232110"
"Sro1020_g232120.1";"Sro1020_g232120"
"Sro1020_g232130.1";"Sro1020_g232130"
"Sro1020_g232140.1";"Sro1020_g232140"
"Sro1020_g232150.1";"Sro1020_g232150"
"Sro1020_g232160.1";"Sro1020_g232160"
"Sro1020_g232170.1";"Sro1020_g232170"
"Sro1020_g232180.1";"Sro1020_g232180"
"Sro1020_g232190.1";"Sro1020_g232190"
"Sro1021_g232200.1";"Sro1021_g232200"
"Sro1021_g232210.1";"Sro1021_g232210"
"Sro1021_g232220.1";"Sro1021_g232220"
"Sro1021_g232230.1";"Sro1021_g232230"
"Sro1021_g232240.1";"Sro1021_g232240"
"Sro1021_g232241.1";"Sro1021_g232241"
"Sro1021_g232250.1";"Sro1021_g232250"
"Sro1021_g232260.1";"Sro1021_g232260"
"Sro1021_g232270.1";"Sro1021_g232270"
"Sro1021_g232280.1";"Sro1021_g232280"
"Sro1021_g232290.1";"Sro1021_g232290"
"Sro1021_g232300.1";"Sro1021_g232300"
"Sro1022_g232310.1";"Sro1022_g232310"
"Sro1022_g232320.1";"Sro1022_g232320"
"Sro1022_g232330.1";"Sro1022_g232330"
"Sro1022_g232340.1";"Sro1022_g232340"
"Sro1022_g232350.1";"Sro1022_g232350"
"Sro1022_g232360.1";"Sro1022_g232360"
"Sro1022_g232370.1";"Sro1022_g232370"
"Sro1022_g232380.1";"Sro1022_g232380"
"Sro1022_g232390.1";"Sro1022_g232390"
"Sro1022_g232400.1";"Sro1022_g232400"
"Sro1022_g232410.1";"Sro1022_g232410"
"Sro1022_g232420.1";"Sro1022_g232420"
"Sro1022_g232430.1";"Sro1022_g232430"
"Sro1022_g232440.1";"Sro1022_g232440"
"Sro1022_g232450.1";"Sro1022_g232450"
"Sro1023_g232460.1";"Sro1023_g232460"
"Sro1023_g232461.1";"Sro1023_g232461"
"Sro1023_g232470.1";"Sro1023_g232470"
"Sro1023_g232480.1";"Sro1023_g232480"
"Sro1023_g232490.1";"Sro1023_g232490"
"Sro1023_g232500.1";"Sro1023_g232500"
"Sro1023_g232510.1";"Sro1023_g232510"
"Sro1023_g232520.1";"Sro1023_g232520"
"Sro1023_g232530.1";"Sro1023_g232530"
"Sro1023_g232540.1";"Sro1023_g232540"
"Sro1023_g232550.1";"Sro1023_g232550"
"Sro1023_g232560.1";"Sro1023_g232560"
"Sro1023_g232570.1";"Sro1023_g232570"
"Sro1023_g232580.1";"Sro1023_g232580"
"Sro1023_r003040.1";"Sro1023_r003040"
"Sro1024_g232590.1";"Sro1024_g232590"
"Sro1024_g232600.1";"Sro1024_g232600"
"Sro1024_g232610.1";"Sro1024_g232610"
"Sro1024_g232620.1";"Sro1024_g232620"
"Sro1024_g232630.1";"Sro1024_g232630"
"Sro1024_g232640.1";"Sro1024_g232640"
"Sro1024_g232650.1";"Sro1024_g232650"
"Sro1024_g232660.1";"Sro1024_g232660"
"Sro1024_g232670.1";"Sro1024_g232670"
"Sro1024_g232680.1";"Sro1024_g232680"
"Sro1024_g232690.1";"Sro1024_g232690"
"Sro1024_g232700.1";"Sro1024_g232700"
"Sro1024_g232710.1";"Sro1024_g232710"
"Sro1024_g232720.2";"Sro1024_g232720"
"Sro1025_g232730.1";"Sro1025_g232730"
"Sro1025_g232740.1";"Sro1025_g232740"
"Sro1025_g232750.1";"Sro1025_g232750"
"Sro1025_g232760.1";"Sro1025_g232760"
"Sro1025_g232770.1";"Sro1025_g232770"
"Sro1025_g232780.1";"Sro1025_g232780"
"Sro1025_g232790.1";"Sro1025_g232790"
"Sro1025_g232800.1";"Sro1025_g232800"
"Sro1025_g232810.1";"Sro1025_g232810"
"Sro1025_g232820.1";"Sro1025_g232820"
"Sro1025_g232830.1";"Sro1025_g232830"
"Sro1025_r003050.1";"Sro1025_r003050"
"Sro1026_g232840.1";"Sro1026_g232840"
"Sro1026_g232850.1";"Sro1026_g232850"
"Sro1026_g232860.1";"Sro1026_g232860"
"Sro1026_g232870.1";"Sro1026_g232870"
"Sro1026_g232880.1";"Sro1026_g232880"
"Sro1026_g232890.1";"Sro1026_g232890"
"Sro1026_g232900.1";"Sro1026_g232900"
"Sro1026_g232910.1";"Sro1026_g232910"
"Sro1026_g232920.1";"Sro1026_g232920"
"Sro1026_g232930.1";"Sro1026_g232930"
"Sro1026_g232940.1";"Sro1026_g232940"
"Sro1026_g232950.1";"Sro1026_g232950"
"Sro1026_g232960.1";"Sro1026_g232960"
"Sro1026_g232970.1";"Sro1026_g232970"
"Sro1027_g232980.1";"Sro1027_g232980"
"Sro1027_g232990.1";"Sro1027_g232990"
"Sro1027_g233000.1";"Sro1027_g233000"
"Sro1027_g233010.1";"Sro1027_g233010"
"Sro1027_g233020.1";"Sro1027_g233020"
"Sro1027_g233030.1";"Sro1027_g233030"
"Sro1027_g233040.1";"Sro1027_g233040"
"Sro1027_g233050.1";"Sro1027_g233050"
"Sro1027_g233060.1";"Sro1027_g233060"
